"","X","UNICODE","codeLoc","LATITUDE","LONGITUDE","check","recent_insp","condition","probability","uncertainty","recentinsp","not_sprayed","group_num","order","color"
"1171",1171,"1.8.2.44","1.8.2",-16.45395597,-71.51232909,0,"2007-07-13",2,0.0826453268168575,0.146524066773684,41,0,17,3,"gray"
"1169",1169,"1.8.2.42","1.8.2",-16.45406649,-71.51245474,0,"2007-07-13",1,0.0797739256872981,0.145109944927073,41,0,17,4,"gray"
"1168",1168,"1.8.2.41","1.8.2",-16.45412138,-71.51249581,0,"2007-07-10",1,0.0738895332297771,0.134782535269982,40,0,17,5,"gray"
"1166",1166,"1.8.2.38","1.8.2",-16.45382129,-71.51246014,0,"2007-07-13",1,0.0692895970388487,0.126387430544936,41,0,17,6,"gray"
"1164",1164,"1.8.2.36","1.8.2",-16.45392045,-71.51257751,0,"2007-07-13",1,0.0690075691221108,0.127463128661638,41,0,17,7,"gray"
"1165",1165,"1.8.2.37","1.8.2",-16.4538751,-71.51252684,0,"2007-07-13",1,0.067299041248776,0.123267893637081,41,0,17,8,"gray"
"74",74,"1.8.3.25","1.8.3",-16.45065804,-71.50883718,0,NA,0,0.131809549248936,0.199055569487264,1,1,18,1,"blue"
"76",76,"1.8.3.27","1.8.3",-16.45080733,-71.50886134,0,NA,0,0.125833052449637,0.189433414673088,1,1,18,2,"gray"
"77",77,"1.8.3.28","1.8.3",-16.45083831,-71.50892962,0,NA,0,0.1238649890255,0.186201100063511,1,1,18,3,"gray"
"75",75,"1.8.3.26","1.8.3",-16.45077554,-71.50879774,0,NA,0,0.123815831255279,0.186118236141138,1,1,18,4,"gray"
"78",78,"1.8.3.29","1.8.3",-16.450874,-71.50899992,0,NA,0,0.122674062480892,0.184229740161232,1,1,18,5,"gray"
"91",91,"1.8.3.40","1.8.3",-16.45099331,-71.50879949,0,NA,0,0.12218269517448,0.183413189186556,1,1,18,6,"gray"
"92",92,"1.8.3.41","1.8.3",-16.45096481,-71.508728,0,NA,0,0.119958909676045,0.179687542088433,1,1,18,7,"gray"
"1256",1256,"1.8.2.52","1.8.2",-16.45350942,-71.51094219,0,NA,0,0.131671560199256,0.2006875737469,42,1,19,1,"blue"
"1173",1173,"1.8.2.46","1.8.2",-16.45381729,-71.51158229,0,NA,0,0.128819021316678,0.195733179896849,42,1,19,2,"gray"
"1257",1257,"1.8.2.53","1.8.2",-16.45341914,-71.51082527,0,NA,0,0.12811558417142,0.19457606657569,42,1,19,3,"gray"
"1175",1175,"1.8.2.48","1.8.2",-16.45371945,-71.5113312,0,"2007-07-13",1,0.0709242324720802,0.134142571670356,41,0,19,4,"gray"
"1214",1214,"1.8.2.49","1.8.2",-16.4536725,-71.51124884,0,"2007-07-16",1,0.0706137292573433,0.133588332389803,42,0,19,5,"gray"
"1174",1174,"1.8.2.47","1.8.2",-16.45377922,-71.51146885,0,"2007-07-13",1,0.0701739993773864,0.132347405557535,41,0,19,6,"gray"
"1258",1258,"1.8.2.54","1.8.2",-16.45332381,-71.51072266,0,"2007-07-10",1,0.0690662470520614,0.129342457995819,40,0,19,7,"gray"
"1176",1176,"1.8.2.50","1.8.2",-16.45362949,-71.51113581,0,"2007-07-13",1,0.0683929818146958,0.129024081535723,41,0,19,8,"gray"
"1177",1177,"1.8.2.51","1.8.2",-16.45356878,-71.51106742,0,"2007-01-10",1,0.0661776658515279,0.12434641172605,42,0,19,9,"gray"
"432",432,"1.8.10.163","1.8.10",-16.44665869,-71.521508,0,NA,0,0.13163362837694,0.199007118947834,12,1,20,1,"blue"
"435",435,"1.8.10.168","1.8.10",-16.44637799,-71.52128907,0,NA,0,0.125190424134686,0.18593789876441,12,1,20,2,"gray"
"375",375,"1.8.10.162","1.8.10",-16.44663044,-71.52139489,0,"2007-04-19",1,0.0771358285382469,0.144567992314928,10,0,20,3,"gray"
"374",374,"1.8.10.161","1.8.10",-16.44661419,-71.52130265,0,"2006-09-11",1,0.0722038316196409,0.13419095376322,12,0,20,4,"gray"
